Query_No         Doc_id           Precision        Recal           
1                CACM-1591        0.0              0.0             
1                CACM-2319        0.0              0.0             
1                CACM-2740        0.0              0.0             
1                CACM-2380        0.0              0.0             
1                CACM-2379        0.0              0.0             
1                CACM-1844        0.0              0.0             
1                CACM-1680        0.0              0.0             
1                CACM-3048        0.0              0.0             
1                CACM-2629        0.0              0.0             
1                CACM-2542        0.0              0.0             
1                CACM-1519        0.0              0.0             
1                CACM-2188        0.0              0.0             
1                CACM-1605        0.0769230769231  0.2             
1                CACM-1264        0.0714285714286  0.2             
1                CACM-1749        0.0666666666667  0.2             
1                CACM-1523        0.0625           0.2             
1                CACM-1033        0.0588235294118  0.2             
1                CACM-1827        0.0555555555556  0.2             
1                CACM-2358        0.105263157895   0.4             
1                CACM-1665        0.1              0.4             
1                CACM-1719        0.0952380952381  0.4             
1                CACM-3087        0.0909090909091  0.4             
1                CACM-2357        0.0869565217391  0.4             
1                CACM-1885        0.0833333333333  0.4             
1                CACM-2948        0.08             0.4             
1                CACM-2424        0.0769230769231  0.4             
1                CACM-2344        0.0740740740741  0.4             
1                CACM-1544        0.0714285714286  0.4             
1                CACM-2622        0.0689655172414  0.4             
1                CACM-2951        0.0666666666667  0.4             
1                CACM-2317        0.0645161290323  0.4             
1                CACM-0585        0.0625           0.4             
1                CACM-2632        0.0606060606061  0.4             
1                CACM-3025        0.0588235294118  0.4             
1                CACM-1750        0.0571428571429  0.4             
1                CACM-2955        0.0555555555556  0.4             
1                CACM-3127        0.0540540540541  0.4             
1                CACM-2219        0.0526315789474  0.4             
1                CACM-2371        0.0512820512821  0.4             
1                CACM-1747        0.05             0.4             
1                CACM-1938        0.0487804878049  0.4             
1                CACM-1647        0.047619047619   0.4             
1                CACM-3112        0.046511627907   0.4             
1                CACM-2535        0.0454545454545  0.4             
1                CACM-2054        0.0444444444444  0.4             
1                CACM-1410        0.0652173913043  0.6             
1                CACM-2868        0.063829787234   0.6             
1                CACM-2920        0.0625           0.6             
1                CACM-1315        0.0612244897959  0.6             
1                CACM-2375        0.06             0.6             
1                CACM-1697        0.0588235294118  0.6             
1                CACM-2560        0.0576923076923  0.6             
1                CACM-2002        0.0566037735849  0.6             
1                CACM-2984        0.0555555555556  0.6             
1                CACM-1853        0.0545454545455  0.6             
1                CACM-3012        0.0535714285714  0.6             
1                CACM-1108        0.0526315789474  0.6             
1                CACM-2470        0.051724137931   0.6             
1                CACM-1179        0.0508474576271  0.6             
1                CACM-1506        0.05             0.6             
1                CACM-1393        0.0491803278689  0.6             
1                CACM-3068        0.0483870967742  0.6             
1                CACM-1161        0.047619047619   0.6             
1                CACM-1657        0.046875         0.6             
1                CACM-3002        0.0461538461538  0.6             
1                CACM-2878        0.0454545454545  0.6             
1                CACM-2681        0.044776119403   0.6             
1                CACM-1195        0.0441176470588  0.6             
1                CACM-1173        0.0434782608696  0.6             
