Query_number     Doc_id           Precision        Recal
1                CACM-1591        0.0              0.0             
1                CACM-2319        0.0              0.0             
1                CACM-2379        0.0              0.0             
1                CACM-1844        0.0              0.0             
1                CACM-2380        0.0              0.0             
1                CACM-1827        0.0              0.0             
1                CACM-1665        0.0              0.0             
1                CACM-2740        0.0              0.0             
1                CACM-1033        0.0              0.0             
1                CACM-2188        0.0              0.0             
1                CACM-3087        0.0              0.0             
1                CACM-2542        0.0              0.0             
1                CACM-1680        0.0              0.0             
1                CACM-1605        0.0714285714286  0.2             
1                CACM-1264        0.0666666666667  0.2             
1                CACM-3048        0.0625           0.2             
1                CACM-1523        0.0588235294118  0.2             
1                CACM-1519        0.0555555555556  0.2             
1                CACM-1885        0.0526315789474  0.2             
1                CACM-2629        0.05             0.2             
1                CACM-2003        0.047619047619   0.2             
1                CACM-1393        0.0454545454545  0.2             
1                CACM-2357        0.0434782608696  0.2             
1                CACM-1749        0.0416666666667  0.2             
1                CACM-2632        0.04             0.2             
1                CACM-2622        0.0384615384615  0.2             
1                CACM-2344        0.037037037037   0.2             
1                CACM-2424        0.0357142857143  0.2             
1                CACM-2054        0.0344827586207  0.2             
1                CACM-1719        0.0333333333333  0.2             
1                CACM-2358        0.0645161290323  0.4             
1                CACM-2470        0.0625           0.4             
1                CACM-1315        0.0606060606061  0.4             
1                CACM-1956        0.0588235294118  0.4             
1                CACM-1698        0.0571428571429  0.4             
1                CACM-2948        0.0555555555556  0.4             
1                CACM-0585        0.0540540540541  0.4             
1                CACM-1750        0.0526315789474  0.4             
1                CACM-2951        0.0512820512821  0.4             
1                CACM-2535        0.05             0.4             
1                CACM-1544        0.0487804878049  0.4             
1                CACM-3127        0.047619047619   0.4             
1                CACM-2219        0.046511627907   0.4             
1                CACM-2035        0.0454545454545  0.4             
1                CACM-0637        0.0444444444444  0.4             
1                CACM-1108        0.0434782608696  0.4             
1                CACM-2560        0.0425531914894  0.4             
1                CACM-2541        0.0416666666667  0.4             
1                CACM-2378        0.0408163265306  0.4             
1                CACM-2955        0.04             0.4             
1                CACM-3112        0.0392156862745  0.4             
1                CACM-0972        0.0384615384615  0.4             
1                CACM-2317        0.0377358490566  0.4             
1                CACM-1829        0.037037037037   0.4             
1                CACM-1938        0.0363636363636  0.4             
1                CACM-2002        0.0357142857143  0.4             
1                CACM-1626        0.0350877192982  0.4             
1                CACM-1170        0.0344827586207  0.4             
1                CACM-1506        0.0338983050847  0.4             
1                CACM-2893        0.0333333333333  0.4             
1                CACM-1811        0.0327868852459  0.4             
1                CACM-3068        0.0322580645161  0.4             
1                CACM-1747        0.031746031746   0.4             
1                CACM-1173        0.03125          0.4             
1                CACM-1410        0.0461538461538  0.6             
1                CACM-1161        0.0454545454545  0.6             
1                CACM-2878        0.044776119403   0.6             
1                CACM-2153        0.0441176470588  0.6             
